stop_id,stop_name                                                       ,stop_lat  ,stop_lon
10430  ,NE Ravenna Blvd & 21st Ave NE                                   ,47.6692657,-122.305489
10445  ,Ravenna Ave NE & NE 54th St                                     ,47.6680031,-122.303864
10460  ,NE 55th St & 25th Ave NE                                        ,47.6684494,-122.300217
10470  ,NE 55th St & 27th Ave NE                                        ,47.6684494,-122.298218
10480  ,NE 55th St & 30th Ave NE                                        ,47.6684494,-122.295074
10490  ,NE 55th St & 33rd Ave NE                                        ,47.6684494,-122.29232
1050   ,Olive Way & 8th Ave                                             ,47.6139374,-122.33416
10500  ,NE 55th St & 35th Ave NE                                        ,47.6684456,-122.29039
10510  ,NE 55th St & 36th Ave NE                                        ,47.6684456,-122.288803
10513  ,40th Ave NE & NE 46th St                                        ,47.6618309,-122.284668
10515  ,40th Ave NE & NE 50th St                                        ,47.6650925,-122.284698
10525  ,NE 55th St & 40th Ave NE                                        ,47.6684418,-122.285049
10550  ,NE 55th St & 45th Ave NE                                        ,47.6690025,-122.279121
10560  ,NE 55th St & Princeton Ave NE                                   ,47.6691818,-122.275909
10561  ,Sand Point Way NE & 38th Ave NE                                 ,47.6615753,-122.286484
10562  ,Sand Point Way NE & 40th Ave NE                                 ,47.6634483,-122.284119
10564  ,Sand Point Way NE & NE 50th St                                  ,47.6646538,-122.282867
10566  ,Sand Point Way NE & NE 52nd St                                  ,47.6670799,-122.28035
10568  ,Sand Point Way NE & Princeton Ave NE                            ,47.6681938,-122.275978
10570  ,Sand Point Way NE & NE 55th St                                  ,47.6683273,-122.273605
10580  ,Sand Point Way NE & NE Windermere Rd                            ,47.6702614,-122.270485
10600  ,Sand Point Way NE & NE 61st St                                  ,47.6729889,-122.266663
10620  ,Sand Point Way NE & NE 65th St                                  ,47.6759682,-122.263428
10630  ,Sand Point Way NE & NE 70th St                                  ,47.6794319,-122.263519
10640  ,Sand Point Way NE & NE 74th St                                  ,47.6817589,-122.263565
10650  ,Sand Point Way NE & NE 77th St                                  ,47.6850052,-122.264465
10653  ,NOAA & Building 1                                               ,47.6865425,-122.257362
10654  ,NE NOAA Dr                                                      ,47.6861496,-122.260803
10657  ,NE NOAA Dr & Guard Shack                                        ,47.6860771,-122.259285
10658  ,NOAA & Building 3                                               ,47.6859894,-122.255554
10680  ,Sand Point Way NE & Inverness Dr NE                             ,47.6927567,-122.270775
1070   ,Olive Way & Terry Ave                                           ,47.6149139,-122.331848
10700  ,Sand Point Way NE & Matthews Pl NE                              ,47.6945229,-122.275177
10710  ,Sand Point Way NE & NE 93rd St                                  ,47.6961441,-122.276566
10720  ,Sand Point Way NE & NE 95th St                                  ,47.6973534,-122.277527
10730  ,Sand Point Way NE & NE 97th St                                  ,47.6990929,-122.277634
10750  ,Sand Point Way NE & NE 103rd St                                 ,47.7030869,-122.277565
10760  ,Sand Point Way NE & NE 106th St                                 ,47.7053642,-122.278374
10780  ,Sand Point Way NE & NE 110th St                                 ,47.7092285,-122.280212
10800  ,Sand Point Way NE & NE 115th St                                 ,47.7126198,-122.28183
1082   ,Convention Place Tunnel Station - Bay I                         ,47.6141129,-122.331726
10820  ,Sand Point Way NE & NE 120th St                                 ,47.716011 ,-122.283005
1083   ,Convention Place Tunnel Station - Bay C                         ,47.6142197,-122.331795
10830  ,Sand Point Way NE & NE 123rd St                                 ,47.717598 ,-122.283928
1084   ,Convention Place Tunnel Station - Bay D                         ,47.6142769,-122.331863
10840  ,Sand Point Way NE & NE 125th St                                 ,47.7192917,-122.286949
1085   ,Pine St & 9th Ave                                               ,47.6133766,-122.332603
1086   ,Convention Place Tunnel Station - Bay E                         ,47.6145744,-122.331688
10860  ,NE 125th St & 35th Ave NE                                       ,47.7193222,-122.291283
10870  ,NE 125th St & 33rd Ave NE                                       ,47.7193375,-122.293205
10910  ,12th Ave NE & NE 47th St                                        ,47.662281 ,-122.31546
10911  ,NE 45th St & University Way NE                                  ,47.6612053,-122.313477
10912  ,15th Ave NE & NE 43rd St                                        ,47.6593704,-122.312096
10914  ,15th Ave NE & NE Campus Pkwy                                    ,47.6564217,-122.312164
10915  ,Harvard Ave E & Eastlake Ave E                                  ,47.6500931,-122.321999
10916  ,Harvard Ave E & Eastlake Ave E                                  ,47.649704 ,-122.322205
10917  ,15th Ave NE & NE 40th St                                        ,47.6550484,-122.312195
10920  ,Harvard Ave E & E Shelby St                                     ,47.646759 ,-122.322205
10940  ,10th Ave E & E Roanoke St                                       ,47.6429367,-122.32016
10950  ,10th Ave E & E Miller St                                        ,47.6411629,-122.32016
10970  ,10th Ave E & E Newton St                                        ,47.6370277,-122.320183
10990  ,10th Ave E & E Galer St                                         ,47.6321259,-122.320305
110    ,1st Ave S & Yesler Way                                          ,47.6013908,-122.334282
11010  ,10th Ave E & E Prospect St                                      ,47.6287384,-122.32032
11011  ,Broadway  E & E Roy St                                          ,47.625248 ,-122.321114
11012  ,E Aloha St & Broadway  E                                        ,47.6267662,-122.320961
11025  ,Boren Ave & Jefferson St                                        ,47.6060677,-122.322029
11030  ,E Roy St & Broadway  E                                          ,47.6251945,-122.320816
11033  ,Boren Ave & Columbia St                                         ,47.6082268,-122.324013
11035  ,Boren Ave & Madison St                                          ,47.609581 ,-122.325256
11040  ,Broadway  E & E Republican St                                   ,47.6228943,-122.32103
11050  ,Broadway  E & E Thomas St                                       ,47.6208153,-122.320992
11060  ,Broadway & E Denny Way                                          ,47.6185379,-122.320946
11062  ,Broadway & E Denny Way                                          ,47.6181641,-122.320946
11065  ,Boren Ave & Pike St                                             ,47.6135406,-122.329102
11070  ,Broadway & E Pine St                                            ,47.6161919,-122.320923
11075  ,Boren Ave & Seneca St                                           ,47.6105156,-122.326332
1108   ,Westlake Tunnel Station & Pine St - 3rd 4th & 5th Avenue - Bay C,47.611393 ,-122.337509
11080  ,E Pine St & Broadway                                            ,47.615303 ,-122.321495
11085  ,Boren Ave & Madison St                                          ,47.6090851,-122.325035
11087  ,Boren Ave & Columbia St                                         ,47.6075935,-122.323669
1109   ,Westlake Station - Bay D                                        ,47.6117249,-122.336716
11090  ,E Pine St & Belmont Ave                                         ,47.6152954,-122.324776
11095  ,Boren Ave & James St                                            ,47.6062164,-122.322411
1110   ,Pine St & 5th Ave                                               ,47.6117668,-122.336456
11100  ,E Pine St & Bellevue Ave                                        ,47.6152992,-122.327271
11130  ,Pike St & Convention Pl                                         ,47.6124153,-122.331223
11132  ,Pike St & Boren Ave                                             ,47.6135788,-122.328445
11140  ,E Pine St & Summit Ave                                          ,47.6151505,-122.325256
11150  ,E Pine St & Harvard Ave                                         ,47.6151619,-122.321617
11175  ,Broadway & E Howell St                                          ,47.6181564,-122.320747
11180  ,Broadway  E & E John St                                         ,47.6201553,-122.32077
11190  ,Broadway  E & E Harrison St                                     ,47.6221962,-122.320816
11191  ,10th Ave E & E Mercer St                                        ,47.623951 ,-122.319992
1120   ,Pine St & 4th Ave                                               ,47.6111031,-122.338028
11200  ,Broadway  E & E Mercer St                                       ,47.6246109,-122.320839
1121   ,Westlake Station & Pine St - 3rd 4th & 5th Avenue - Bay A       ,47.6118011,-122.335823
11230  ,10th Ave E & E Prospect St                                      ,47.6288605,-122.320114
11250  ,10th Ave E & E Galer St                                         ,47.6322136,-122.320099
11270  ,10th Ave E & E Howe St                                          ,47.6361618,-122.319992
11290  ,10th Ave E & E Miller St                                        ,47.641571 ,-122.319969
1130   ,Pine St & 2nd Ave                                               ,47.6101646,-122.340279
11300  ,E Roanoke St & Broadway  E                                      ,47.643261 ,-122.320747
11330  ,Harvard Ave E & E Shelby St                                     ,47.64711  ,-122.321999
11352  ,15th Ave NE & NE 42nd St                                        ,47.6586685,-122.311905
11354  ,NE 45th St & Brooklyn Ave NE                                    ,47.6613464,-122.313889
11370  ,15th Ave E & E Galer St                                         ,47.6323891,-122.312607
11390  ,15th Ave E & E Prospect St                                      ,47.628479 ,-122.312668
11400  ,15th Ave E & E Aloha St                                         ,47.6266823,-122.312668
11410  ,15th Ave E & E Roy St                                           ,47.6250267,-122.312698
11420  ,15th Ave E & E Mercer St                                        ,47.62397  ,-122.312714
11430  ,15th Ave E & E Republican St                                    ,47.6228943,-122.312737
11480  ,E Pine St & 15th Ave                                            ,47.6153564,-122.313148
11490  ,E Pine St & 13th Ave                                            ,47.6153374,-122.31591
11500  ,E Pine St & 11th Ave                                            ,47.6153183,-122.318489
11510  ,E Pine St & 10th Ave                                            ,47.615181 ,-122.319092
11520  ,E Pine St & 12th Ave                                            ,47.6152   ,-122.316498
11535  ,E Pine St & 15th Ave                                            ,47.6152115,-122.312286
11570  ,15th Ave E & E Harrison St                                      ,47.62257  ,-122.312538
11590  ,15th Ave E & E Roy St                                           ,47.6254234,-122.312492
11600  ,15th Ave E & E Aloha St                                         ,47.6270981,-122.312469
11610  ,15th Ave E & E Prospect St                                      ,47.6289024,-122.312454
11620  ,15th Ave E & E Highland Dr                                      ,47.6308327,-122.312424
11630  ,Grandview Pl E & E Galer St                                     ,47.6325226,-122.311821
11640  ,Grandview Pl E & E Garfield St                                  ,47.634079 ,-122.311798
11680  ,Mount Rainier Dr S & S Hanford St                               ,47.5756569,-122.284843
11690  ,Mount Rainier Dr S & S Ridgeway Pl                              ,47.5766449,-122.286415
11700  ,S Mcclellan St & Lake Park Dr S                                 ,47.5784073,-122.288605
11720  ,S Mcclellan St & 31st Ave S                                     ,47.5784111,-122.292671
11730  ,31st Ave S & S Lander St                                        ,47.5798607,-122.292908
11750  ,31st Ave S & S College St                                       ,47.5827065,-122.292908
11770  ,31st Ave S & S Plum St                                          ,47.5851021,-122.292908
11790  ,31st Ave S & S Massachusetts St                                 ,47.5881615,-122.292442
1180   ,Pike St & 4th Ave                                               ,47.6101341,-122.336685
11800  ,31st Ave S & S Day St                                           ,47.5905342,-122.292305
11820  ,31st Ave S & S Norman St                                        ,47.5935059,-122.292656
11840  ,31st Ave S & S Dearborn St                                      ,47.5959206,-122.292603
11860  ,31st Ave S & S King St                                          ,47.597908 ,-122.292519
11870  ,S Jackson St & 30th Ave S                                       ,47.5992508,-122.29364
11880  ,S Jackson St & 28th Ave S                                       ,47.5992851,-122.296112
11890  ,S Jackson St & Martin L King Jr Way S                           ,47.5993042,-122.297752
1190   ,Pike St & 6th Ave                                               ,47.6110344,-122.334526
11910  ,S Jackson St & 23rd Ave S                                       ,47.5993462,-122.302032
1192   ,Convention Place Tunnel Station - Bay A                         ,47.6139412,-122.33152
11920  ,S Jackson St & 20th Pl S                                        ,47.5993347,-122.304642
11940  ,S Jackson St & 18th Ave S                                       ,47.5993042,-122.309349
11960  ,S Jackson St & Rainier Ave S                                    ,47.5991402,-122.313576
11980  ,S Jackson St & 18th Ave S                                       ,47.5991669,-122.309738
11990  ,S Jackson St & 20th Ave S                                       ,47.5991898,-122.305992
12010  ,S Jackson St & 23rd Ave S                                       ,47.5992126,-122.301636
12030  ,S Jackson St & 28th Ave S                                       ,47.5991478,-122.295952
12040  ,S Jackson St & 30th Ave S                                       ,47.5991173,-122.29348
12050  ,31st Ave S & S King St                                          ,47.597744 ,-122.29274
12070  ,31st Ave S & S Dearborn St                                      ,47.5955124,-122.292809
12080  ,31st Ave S & S Norman St                                        ,47.5930748,-122.292877
1209   ,Convention Pl & Union St                                        ,47.6111259,-122.331779
12090  ,31st Ave S & S Irving St                                        ,47.5909729,-122.292496
12110  ,31st Ave S & S Massachusetts St                                 ,47.5878716,-122.292648
12130  ,31st Ave S & S Plum St                                          ,47.5849571,-122.293098
12140  ,31st Ave S & S Walker St                                        ,47.5834236,-122.293098
1215   ,Union St & 6th Ave                                              ,47.6097679,-122.334648
12160  ,31st Ave S & S Lander St                                        ,47.579422 ,-122.293106
12170  ,S Mcclellan St & 31st Ave S                                     ,47.5782738,-122.292587
12190  ,S Mcclellan St & S Mount Baker Blvd                             ,47.5782738,-122.288696
12200  ,Mount Rainier Dr S & 37th Pl S                                  ,47.5765457,-122.286552
12210  ,E Mcgilvra St & 42nd Ave E                                      ,47.6407738,-122.27829
12220  ,42nd Ave E & E Lynn St                                          ,47.6388626,-122.278534
12230  ,42nd Ave E & E Newton St                                        ,47.6367264,-122.278564
12240  ,42nd Ave E & E Madison St                                       ,47.6356049,-122.278572
12250  ,E Madison St & 41st Ave E                                       ,47.6346397,-122.279846
12260  ,E Madison St & E Garfield St                                    ,47.6334572,-122.281609
12270  ,E Madison St & 38th Ave E                                       ,47.6317902,-122.284065
12280  ,E Madison St & 36th Ave E                                       ,47.6299744,-122.286743
12290  ,E Madison St & 34th Ave E                                       ,47.6289024,-122.288345
1230   ,Union St & 4th Ave                                              ,47.6091309,-122.336182
12310  ,E Madison St & Lake Washington Blvd                             ,47.6259193,-122.292725
12322  ,E Madison St & 28th Ave E                                       ,47.6231651,-122.296799
12340  ,E Madison St & 25th Ave E                                       ,47.6208687,-122.300186
12350  ,E Madison St & 23rd Ave E                                       ,47.6192856,-122.302536
12351  ,E Madison St & 22nd Ave E                                       ,47.6182976,-122.303986
12352  ,E Madison St & 20th Ave                                         ,47.6173515,-122.306129
12353  ,E Madison St & 19th Ave                                         ,47.6166191,-122.307877
12354  ,E Madison St & 17th Ave                                         ,47.6155205,-122.310516
12355  ,E Madison St & 15th Ave                                         ,47.6143608,-122.313316
12371  ,E Madison St & 15th Ave                                         ,47.6145515,-122.312454
12372  ,E Madison St & 17th Ave                                         ,47.6154594,-122.310265
12373  ,E Madison St & 18th Ave                                         ,47.6161728,-122.308563
12375  ,E Madison St & 20th Ave                                         ,47.617363 ,-122.305702
12376  ,E Madison St & 22nd Ave                                         ,47.6181717,-122.303886
12377  ,E Madison St & 23rd Ave E                                       ,47.6192589,-122.302277
12378  ,E Madison St & 25th Ave E                                       ,47.6210938,-122.299561
12380  ,E Madison St & 27th Ave E                                       ,47.6224899,-122.297508
12390  ,E Madison St & 29th Ave E                                       ,47.6240654,-122.295189
12400  ,E Madison St & Lake Washington Blvd                             ,47.626152 ,-122.292099
12410  ,E Madison St & 33rd Ave E                                       ,47.6281853,-122.289093
12420  ,E Madison St & 36th Ave E                                       ,47.6299477,-122.286499
12430  ,E Madison St & 38th Ave E                                       ,47.6315384,-122.284149
12440  ,E Madison St & 39th Ave E                                       ,47.6324272,-122.282837
12450  ,E Madison St & 41st Ave E                                       ,47.6344032,-122.279915
12460  ,43rd Ave E & E Blaine St                                        ,47.6348839,-122.277046
12470  ,43rd Ave E & E Madison St                                       ,47.636631 ,-122.277016
12480  ,43rd Ave E & E Lynn St                                          ,47.6390877,-122.276993
12481  ,Martin L King Jr Way S & S Judkins St                           ,47.59161  ,-122.297646
12484  ,Martin L King Jr Way S & S Hill St                              ,47.584259 ,-122.298248
12485  ,S Walker St & 25th Ave S                                        ,47.5837135,-122.299629
12486  ,Martin L King Jr Way S & S Bayview St                           ,47.5810013,-122.296921
12487  ,Martin L King Jr Way S & S Massachusetts St                     ,47.5878944,-122.298164
12496  ,S Plum St & 25th Ave S                                          ,47.5854111,-122.300079
12497  ,Martin L King Jr Way S & S Massachusetts St                     ,47.5886765,-122.297836
1250   ,Seneca St & 4th Ave                                             ,47.6074219,-122.33461
12500  ,26th Ave S & S Norman St                                        ,47.5931664,-122.298958
12520  ,S Dearborn St & 26th Ave S                                      ,47.5956268,-122.299423
12532  ,23rd Ave S & S Lane St                                          ,47.5967102,-122.302124
12550  ,23rd Ave S & S Jackson St                                       ,47.5996933,-122.302139
12560  ,23rd Ave & E Yesler Way                                         ,47.6018944,-122.302292
1260   ,Seneca St & 6th Ave                                             ,47.6087418,-122.331482
12600  ,23rd Ave & E Jefferson St                                       ,47.6058998,-122.302879
12630  ,23rd Ave S & E Yesler Way                                       ,47.6012573,-122.302361
12640  ,23rd Ave S & S Jackson St                                       ,47.5990601,-122.30233
12660  ,S Dearborn St & 24th Ave S                                      ,47.5955009,-122.301636
12670  ,24th Ave S & S Norman St                                        ,47.5927429,-122.301277
12690  ,34th Ave & E Union St                                           ,47.6125069,-122.289421
1270   ,Spring St & 4th Ave                                             ,47.6068764,-122.333206
12700  ,34th Ave & E Marion St                                          ,47.6105156,-122.289474
12712  ,34th Ave & E Cherry St                                          ,47.6080475,-122.289528
12720  ,E Cherry St & 32nd Ave                                          ,47.6080322,-122.292
12740  ,E Cherry St & Martin L King Jr Way                              ,47.6080704,-122.296158
12760  ,E Cherry St & 24th Ave                                          ,47.6080704,-122.300484
12770  ,23rd Ave & E Cherry St                                          ,47.6077118,-122.302879
12780  ,E Jefferson St & 23rd Ave                                       ,47.6062393,-122.30323
12790  ,E Jefferson St & 21st Ave                                       ,47.6062355,-122.305367
1280   ,Spring St & 6th Ave                                             ,47.6078148,-122.330948
12805  ,E Jefferson St & 18th Ave                                       ,47.6062431,-122.309669
12820  ,E Jefferson St & 15th Ave                                       ,47.6062584,-122.313126
12840  ,E Jefferson St & 12th Ave                                       ,47.6062737,-122.317108
12860  ,Jefferson St & Broadway                                         ,47.6061287,-122.321152
12880  ,Jefferson St & 9th Ave                                          ,47.6049347,-122.324081
12890  ,James St & 8th Ave                                              ,47.6051941,-122.325813
12900  ,James St & 8th Ave                                              ,47.6051636,-122.3255
12910  ,9th Ave & Jefferson St                                          ,47.6048737,-122.324242
12930  ,E Jefferson St & Broadway                                       ,47.6061478,-122.320351
12950  ,E Jefferson St & 12th Ave                                       ,47.6061363,-122.316498
12960  ,E Jefferson St & 14th Ave                                       ,47.6061211,-122.313774
12980  ,E Jefferson St & 17th Ave                                       ,47.6061058,-122.309929
12991  ,E Jefferson St & 20th Ave                                       ,47.6060982,-122.305962
1300   ,Madison St & 8th Ave                                            ,47.6080284,-122.328079
13005  ,21st Ave & E James St                                           ,47.607399 ,-122.304924
13020  ,E Cherry St & 23rd Ave                                          ,47.6079407,-122.30233
13030  ,E Cherry St & 25th Ave                                          ,47.6079369,-122.299774
13040  ,E Cherry St & Martin L King Jr Way                              ,47.6079292,-122.296364
13060  ,E Cherry St & 31st Ave                                          ,47.6079063,-122.292305
13070  ,E Cherry St & 33rd Ave                                          ,47.6078835,-122.290253
13080  ,34th Ave & E Columbia St                                        ,47.6094742,-122.289299
13090  ,E Spring St & 34th Ave                                          ,47.6116943,-122.289574
13190  ,Interlaken Turnback Loop & 19th Ave E                           ,47.6325111,-122.307358
13200  ,19th Ave E & E Galer St                                         ,47.6319504,-122.307327
13210  ,19th Ave E & E Highland Dr                                      ,47.6304359,-122.307358
13220  ,19th Ave E & E Prospect St                                      ,47.6284943,-122.307388
13230  ,19th Ave E & E Aloha St                                         ,47.6266518,-122.307396
13240  ,19th Ave E & E Mercer St                                        ,47.6241951,-122.307396
13250  ,19th Ave E & E Harrison St                                      ,47.6219025,-122.307426
13260  ,19th Ave E & E John St                                          ,47.6194572,-122.307465
13270  ,19th Ave & E Denny Way                                          ,47.6182632,-122.307495
13277  ,E Madison St & 13th Ave                                         ,47.6131248,-122.316277
13282  ,E Madison St & Broadway Ct                                      ,47.6116257,-122.319855
13283  ,Madison St & Summit Ave                                         ,47.610424 ,-122.322723
13284  ,Madison St & Boren Ave                                          ,47.6092567,-122.325539
13285  ,Madison St & 9th Ave                                            ,47.6083336,-122.327736
13291  ,Madison St & Boren Ave                                          ,47.6094246,-122.324745
13292  ,Madison St & Summit Ave                                         ,47.6103745,-122.322479
13293  ,E Madison St & Broadway                                         ,47.6112671,-122.320335
13294  ,E Madison St & 14th Ave                                         ,47.6137772,-122.314308
13300  ,19th Ave & E Madison St                                         ,47.6171455,-122.307304
13310  ,19th Ave E & E Denny Way                                        ,47.6186981,-122.307274
13320  ,19th Ave E & E John St                                          ,47.619873 ,-122.307259
13330  ,19th Ave E & E Thomas St                                        ,47.6206818,-122.307251
13340  ,19th Ave E & E Harrison St                                      ,47.6218605,-122.307236
13350  ,19th Ave E & E Republican St                                    ,47.6234016,-122.307205
13360  ,19th Ave E & E Roy St                                           ,47.6254692,-122.30722
13370  ,19th Ave E & E Aloha St                                         ,47.6270447,-122.30719
13380  ,19th Ave E & E Prospect St                                      ,47.6288605,-122.307167
13381  ,19th Ave E & E Highland Dr                                      ,47.630806 ,-122.307137
13390  ,Bellevue Ave E & Bellevue Pl E                                  ,47.6264954,-122.326691
13410  ,Bellevue Ave E & E Republican St                                ,47.623188 ,-122.326698
13420  ,Bellevue Ave E & E Thomas St                                    ,47.6206512,-122.326691
13430  ,Bellevue Ave E & E Denny Way                                    ,47.6185341,-122.32682
13441  ,Bellevue Ave & E Olive Way                                      ,47.6167336,-122.326889
13460  ,Bellevue Ave & E Olive St                                       ,47.6165085,-122.326691
13480  ,Summit Ave E & E Olive Way                                      ,47.6193848,-122.325195
1350   ,Yesler Way & 6th Ave S                                          ,47.6016388,-122.325058
13500  ,Summit Ave E & E Harrison St                                    ,47.6222191,-122.325211
13510  ,Summit Ave E & E Mercer St                                      ,47.6245689,-122.325226
13540  ,NW 105th St & 14th Ave NW                                       ,47.7051201,-122.373596
13541  ,NW 103rd St & 13th Ave NW                                       ,47.7034302,-122.373131
13542  ,14th Ave NW & NW 100th St                                       ,47.7016335,-122.374199
1355   ,6th Ave S & Yesler Way                                          ,47.6006813,-122.326454
13550  ,15th Ave NW & NW 100th St                                       ,47.7012444,-122.376877
13560  ,15th Ave NW & NW 96th St                                        ,47.6987267,-122.376892
13570  ,15th Ave NW & NW 92nd St                                        ,47.6956444,-122.3769
13585  ,15th Ave NW & NW 87th St                                        ,47.6929321,-122.376755
13600  ,15th Ave NW & NW 85th St                                        ,47.6901588,-122.3769
13620  ,15th Ave NW & NW 80th St                                        ,47.6860619,-122.376892
13640  ,15th Ave NW & NW 75th St                                        ,47.682991 ,-122.376892
13660  ,15th Ave NW & NW 70th St                                        ,47.6790352,-122.376877
13670  ,15th Ave NW & NW 65th St                                        ,47.6760139,-122.37664
13700  ,15th Ave NW & NW 60th St                                        ,47.6724358,-122.376312
13721  ,15th Ave NW & NW Market St                                      ,47.6689072,-122.376312
13760  ,15th Ave NW & NW Leary Way                                      ,47.6631432,-122.37648
13770  ,15th Ave W & W Emerson St                                       ,47.6534729,-122.376328
13775  ,W Emerson Pl & 21st Ave W                                       ,47.6558075,-122.38372
13800  ,15th Ave W & W Dravus St                                        ,47.6481705,-122.376862
13810  ,15th Ave W & W Armour St                                        ,47.644825 ,-122.376328
13830  ,15th Ave W & W Wheeler St                                       ,47.6403198,-122.376312
13840  ,15th Ave W & W Armory Way                                       ,47.6374817,-122.376305
13870  ,Elliott Ave W & W Galer St                                      ,47.6319695,-122.375397
13890  ,Elliott Ave W & W Prospect St                                   ,47.6290588,-122.371742
13910  ,W Mercer St & 3rd Ave W                                         ,47.6245346,-122.360718
13950  ,1st Ave & Wall St                                               ,47.6144524,-122.348503
1400   ,Madison St & 5th Ave                                            ,47.606636 ,-122.331779
14035  ,1st Ave & Cedar St                                              ,47.615818 ,-122.350494
14038  ,W Mercer St & 3rd Ave W                                         ,47.6246681,-122.361153
14070  ,Elliott Ave W & W Prospect St                                   ,47.628788 ,-122.371124
14090  ,Elliott Ave W & W Galer St                                      ,47.6322517,-122.375481
14110  ,15th Ave W & W Newton St                                        ,47.6369629,-122.376099
14130  ,15th Ave W & W Wheeler St                                       ,47.6409225,-122.376114
1415   ,Madison St & 4th Ave                                            ,47.6059837,-122.333366
14150  ,15th Ave W & W Armour St                                        ,47.6449356,-122.376122
14170  ,15th Ave W & W Dravus St                                        ,47.6490974,-122.376045
14190  ,15th Ave W & W Emerson St                                       ,47.6539421,-122.376122
14195  ,W Emerson Pl & 21st Ave W                                       ,47.6555977,-122.38353
1420   ,Madison St & 2nd Ave                                            ,47.6053276,-122.334923
14200  ,15th Ave NW & NW Leary Way                                      ,47.6634369,-122.375977
14230  ,15th Ave NW & NW Market St                                      ,47.6684723,-122.376114
14250  ,15th Ave NW & NW 60th St                                        ,47.6722908,-122.376114
14280  ,15th Ave NW & NW 65th St                                        ,47.6767311,-122.376671
14300  ,15th Ave NW & NW 70th St                                        ,47.6797256,-122.376671
14320  ,15th Ave NW & NW 75th St                                        ,47.6834221,-122.376686
14340  ,15th Ave NW & NW 80th St                                        ,47.68713  ,-122.376701
14360  ,15th Ave NW & NW 85th St                                        ,47.6911774,-122.376709
14370  ,15th Ave NW & NW 90th St                                        ,47.6937332,-122.376701
14380  ,15th Ave NW & NW 92nd St                                        ,47.6962891,-122.376701
14390  ,15th Ave NW & NW 96th St                                        ,47.698822 ,-122.376686
14400  ,15th Ave NW & NW 100th St                                       ,47.7014008,-122.376671
14410  ,14th Ave NW & NW 100th St                                       ,47.7017822,-122.373993
14420  ,14th Ave NW & NW 103rd St                                       ,47.7033081,-122.373993
1451   ,S Main St & 3rd Ave S                                           ,47.5999641,-122.32991
1466   ,S Jackson St & 2nd Ave S                                        ,47.5991364,-122.331223
1471   ,S Jackson St & 5th Ave S                                        ,47.5991249,-122.328041
1480   ,S Jackson St & Maynard Ave S                                    ,47.5991173,-122.32457
1490   ,S Jackson St & 8th Ave S                                        ,47.5991173,-122.322044
1495   ,8th Ave S & S King St                                           ,47.5985146,-122.322548
14960  ,Alki Ave SW & 61st Ave SW                                       ,47.5790405,-122.410667
14961  ,61st Ave SW & SW Stevens St                                     ,47.5775185,-122.410797
